conductivity,coords,dT_dt,density,object,object_id,temperature,viscosity,zminus_index,zplus_index
80.0,1700.0,-0.0001471776010475878,0.0,0.1,B83,2071.4956025069987,0.0,84,86
80.0,1720.0,-0.00015399042413264397,0.0,0.1,B84,2072.325049228374,0.0,85,87
80.0,1740.0,-0.00015040507960293326,0.0,0.1,B85,2073.153751993047,0.0,86,88
80.0,1760.0,-0.0001572788778503309,0.0,0.1,B86,2073.9816765844657,0.0,87,89
80.0,1780.0,-0.00015361297664640006,0.0,0.1,B87,2074.8088411307435,0.0,88,90
80.0,1800.0,-0.00016054422758315923,0.0,0.1,B88,2075.6352111192577,0.0,89,91
80.0,1820.0,-0.00015680083652114263,0.0,0.1,B89,2076.460805073239,0.0,90,92
80.0,1840.0,-0.00016378597538277973,0.0,0.1,B90,2077.285588201713,0.0,91,93
80.0,1860.0,-0.00015996820366126485,0.0,0.1,B91,2078.1095794075864,0.0,92,94
80.0,1880.0,-0.00016700362666597358,0.0,0.1,B92,2078.9327436394547,0.0,93,95
80.0,1900.0,-0.00016311462350131477,0.0,0.1,B93,2079.755100164255,0.0,94,96
80.0,1920.0,-0.00017019668903230922,0.0,0.1,B94,2080.576613688266,0.0,95,97
80.0,1940.0,-0.00016623964256723411,0.0,0.1,B95,2081.397303826612,0.0,96,98
80.0,1960.0,-0.00017336467353743502,0.0,0.1,B96,2082.2171350615517,0.0,97,99
80.0,1980.0,-0.0001693428082035098,0.0,0.1,B97,2083.036127340364,0.0,98,100
80.0,2000.0,-0.0001765070944202307,0.0,0.1,B98,2083.8542449397573,0.0,99,101
80.0,2020.0,-0.0001724236689369718,0.0,0.1,B99,2084.6715081229568,0.0,100,102
80.0,2040.0,-0.00017962346901185812,0.0,0.1,B100,2085.4878809797483,0.0,101,103
80.0,2060.0,-0.00017548177420394497,0.0,0.1,B101,2086.3033840729317,0.0,102,104
80.0,2080.0,-0.0001827133184633567,0.0,0.1,B102,2087.1179813241465,0.0,103,105
80.0,2100.0,-0.0001785166750778444,0.0,0.1,B103,2087.931693579238,0.0,104,106
80.0,2120.0,-0.00018577616710899748,0.0,0.1,B104,2088.7444846106155,0.0,105,107
80.0,2140.0,-0.00018152792390537797,0.0,0.1,B105,2089.5563755304956,0.0,106,108
80.0,2160.0,-0.00018881154273913127,0.0,0.1,B106,2090.367329981101,0.0,107,109
80.0,2180.0,-0.00018451507494319228,0.0,0.1,B107,2091.17736932421,0.0,108,110
80.0,2200.0,-0.00019181897760063292,0.0,0.1,B108,2091.9864570910177,0.0,109,111
80.0,2220.0,-0.00018747768317552984,0.0,0.1,B109,2092.7946148759297,0.0,110,112
80.0,2240.0,-0.00019479800803310352,0.0,0.1,B110,2093.601806118378,0.0,111,113
80.0,2260.0,-0.00019041530567847075,0.0,0.1,B111,2094.408052628354,0.0,112,114
80.0,2280.0,-0.00019774817419602187,0.0,0.1,B112,2095.2133177728747,0.0,113,115
80.0,2300.0,-0.00019332750198373106,0.0,0.1,B113,2096.017623560376,0.0,114,116
80.0,2320.0,-0.0002006690201596939,0.0,0.1,B114,2096.8209333048912,0.0,115,117
80.0,2340.0,-0.00019621383280536974,0.0,0.1,B115,2097.6232691960695,0.0,116,118
80.0,2360.0,-0.00020356009526949494,0.0,0.1,B116,2098.4245945144594,0.0,117,119
80.0,2380.0,-0.0001990738618587784,0.0,0.1,B117,2099.224931613613,0.0,118,120
80.0,2400.0,-0.00020642095205403166,0.0,0.1,B118,2100.024243760148,0.0,119,121
80.0,2420.0,-0.0002019071549511864,0.0,0.1,B119,2100.8225534541407,0.0,120,122
80.0,2440.0,-0.00020925114904457587,0.0,0.1,B120,2101.6198239678806,0.0,121,123
80.0,2460.0,-0.00020471328007261037,0.0,0.1,B121,2102.4160779305334,0.0,122,124
80.0,2480.0,-0.00021205024868322652,0.0,0.1,B122,2103.211278639692,0.0,123,125
80.0,2500.0,-0.00020749180803250055,0.0,0.1,B123,2104.0054488361297,0.0,124,126
80.0,2520.0,-0.00021481781886905081,0.0,0.1,B124,2104.798551862399,0.0,125,127
80.0,2540.0,-0.00021024231227784185,0.0,0.1,B125,2105.5906105533672,0.0,126,128
80.0,2560.0,-0.00021755343295808417,0.0,0.1,B126,2106.381588316206,0.0,127,129
80.0,2580.0,-0.0002129643688931537,0.0,0.1,B127,2107.1715080623417,0.0,128,130
80.0,2600.0,-0.0002202566689447849,0.0,0.1,B128,2107.960333283223,0.0,129,131
80.0,2620.0,-0.00021565755741903558,0.0,0.1,B129,2108.7480869492883,0.0,130,132
80.0,2640.0,-0.00022292711055342805,0.0,0.1,B130,2109.534732655905,0.0,131,133
80.0,2660.0,-0.00021832146067026772,0.0,0.1,B131,2110.3202934149763,0.0,132,134
80.0,2680.0,-0.00022556434687430736,0.0,0.1,B132,2111.104732945404,0.0,133,135
80.0,2700.0,-0.0002209556644629629,0.0,0.1,B133,2111.888074283019,0.0,134,136
80.0,2720.0,-0.00022816797318228057,0.0,0.1,B134,2112.670281289834,0.0,135,137
80.0,2740.0,-0.00022355975834216222,0.0,0.1,B135,2113.4513770080916,0.0,136,138
80.0,2760.0,-0.00023073759048202193,0.0,0.1,B136,2114.2313254624405,0.0,137,139
80.0,2780.0,-0.00022613333494518885,0.0,0.1,B137,2115.0101496840557,0.0,138,140
80.0,2800.0,-0.00023327280614466873,0.0,0.1,B138,2115.7878138796796,0.0,139,141
